folder,image,ground_truth,prediction,cer_score
24,89.jpg,với,"wait, the image shows ""!!"" at the end of the word.
let's look at the word again.
it's ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the word is ""!!"".
the",259.3333
9,6.jpg,hộ,ĥ̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂̂�,64.0
75,91.jpg,về,v̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅�,64.0
130,65.jpg,về,v̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅̅�,64.0
34,91.jpg,để,$ \frac { 1 } { d } \frac { e ^ { 2 } } { e } $,23.5
66,35.jpg,đã,$ \overrightarrow {c d} \overrightarrow {a} $,22.5
5,93.jpg,ở,$ \partial^ {\prime} $,22.0
110,11.jpg,tế,$ \mathrm {v} \bar {\mathrm {e}}^{\prime} $,21.0
114,62.jpg,để,$ \frac { 1 } { 2 } \varepsilon^{ \circ} $,21.0
147,54.jpg,để,$ \overline{{{c}}} \overline{{{i}}}^{'} $,20.5
113,3.jpg,đổ,$ \frac { 1 } { d } \dot { 0 } ^ { 2 } $,20.0
71,47.jpg,ở,$ \dot{\theta}^{2} $,20.0
5,40.jpg,đối,$ \frac { 1 } { c } + \frac { 1 } { c o ^ { \prime } } $,18.3333
100,17.jpg,để,$ \mathrm {c r} \mathrm {e}^{2} $,16.5
34,70.jpg,để,$ \mathrm {e} f \mathrm {e}^{2} $,16.5
9,46.jpg,đó,$ \overline{c} / 1 0 ^ {\prime} $,16.5
148,67.jpg,cổ,$ \mathrm {o} ^ {\prime \prime} $,16.5
12,18.jpg,đối,$ \frac {1}{2} \overrightarrow {o 1} ^ {\prime} $,16.0
147,89.jpg,đ,$ \frac {1}{d} $,16.0
21,4.jpg,đồ,$ \frac { 1 } { 2 } t ^ { 2 } $,15.5
3,37.jpg,đã,$ \overrightarrow {d a} ^ {2} $,15.5
39,6.jpg,về,$ v_{\mathrm{e}}^{\mathrm{^2}} $,15.5
67,2.jpg,đổ,$ \overrightarrow {d o} ^ {2} $,15.5
140,60.jpg,đã,"$$
\frac {1}{a _ {n}} ^ {n}
$$",15.0
90,2.jpg,ở,$ \mathrm {出} $,15.0
73,22.jpg,để,$ \frac {1}{2} \hat {e}^{2} $,14.5
144,51.jpg,đã,$ \frac { 1 } { 2 } d a^{2} $,14.5
78,22.jpg,bếp,b $ \overline{{{e}}} \mathrm {p} ^ {\prime} $,14.3333
128,39.jpg,ở,$ \delta^{2} $,14.0
129,48.jpg,ở,$ \delta^{1} $,14.0
125,31.jpg,từ,$ \mathrm {t r e} ^ {\circ} $,14.0
8,55.jpg,đã,$ \overrightarrow{c a}^{2} $,14.0
19,81.jpg,bờ,$ \overline{b} \overline{8} $,14.0
140,22.jpg,ở,$ \theta^{1} $,14.0
83,86.jpg,đảo,$ \mathrm {d} t ^ {\prime} \mathrm {c o} $,13.6667
117,71.jpg,có,$ \mathrm {c o} ^ {\prime} $,13.5
91,29.jpg,đã,$ \overrightarrow {c t a} $,13.5
112,44.jpg,đã,$ \frac { 1 } { 2 } a^{2} $,13.5
77,66.jpg,về,$ v_{\mathrm{e}}^{\hat{1}} $,13.5
27,77.jpg,đá,$ \frac {1}{2} u^{\prime} $,13.5
121,90.jpg,số,$ \mathrm {s c} ^ {\prime} $,13.5
111,88.jpg,nước,$ \mathrm {n e u}^{1 9} \mathrm {o}^{2 9} \mathrm {c} $,13.25
21,28.jpg,đường,$ \mathrm {a t u} ^ {\prime} \mathrm {s} ^ {\prime} \mathrm {r g} $,13.2
56,91.jpg,đất,$ \frac {1}{2} d \hat {a} ^ {\prime} t $,13.0
111,55.jpg,về,$ v_{\mathrm{e}}^{\prime} $,13.0
72,4.jpg,án,$ \mathrm {a} _ {n} ^ {1} $,13.0
95,79.jpg,đôi,$ \frac { f ^ { 2 } } { d o _ { 1 } } $,13.0
94,82.jpg,để,$ \frac {1}{d} e ^ {- 1} $,13.0
61,95.jpg,ở,$ o_{2}^{2} $,13.0
26,53.jpg,bờ,b $ \overset{\frown} {o} $,12.5
81,28.jpg,đã,$ \frac{1}{a} \tilde{a} $,12.5
135,45.jpg,đã,$ \mathrm {d} a^{\sim} $,12.0
49,74.jpg,về,$ v e ^ {\prime \prime} $,12.0
111,99.jpg,để,$ \overrightarrow{d e} $,12.0
80,15.jpg,có,$ \mathrm{c o}^{\prime} $,12.0
