image,ground_truth,prediction,cer_score
test_1_46.jpg,số,kết,1.5
test_1_15.jpg,rồi,việc,1.3333
test_1_83.jpg,dâm,định,1.3333
test_1_31.jpg,ông,ởy,1.0
test_1_50.jpg,2,l,1.0
test_1_48.jpg,ấy,củy,1.0
test_1_63.jpg,980,gử,1.0
test_1_93.jpg,bờ,kd,1.0
test_1_92.jpg,đối,bộ,1.0
test_1_90.jpg,làm,bạn,1.0
test_1_88.jpg,mô,một,1.0
test_1_16.jpg,tín,hiện,1.0
test_10_16.jpg,áo,aơ,1.0
test_1_100.jpg,kê,khể,1.0
test_10_31.jpg,g,j,1.0
test_10_34.jpg,5,s,1.0
test_10_79.jpg,về,với,1.0
test_10_99.jpg,cổ,lõ,1.0
test_10_44.jpg,địa,được,1.0
test_10_42.jpg,nữa,nước,1.0
test_1_98.jpg,ty,bị,1.0
test_10_47.jpg,""" làm việc này tuy âm thầm nhưng vui, rất vui, chẳng có gì để buồn. việc tốt mà... "", các nhân viên của khai minh nói như vậy. phi cho biết khi làm dự án về dịch vụ báo mất, anh đã thực hiện một cuộc thăm dò về nhu cầu của người dân tp.hcm. hầu như 100% số người được hỏi đều cho biết hoàn toàn tán thành và sẵn sàng hợp tác nếu dịch vụ ra đời. nhặt và trả đã đủ để vui. dịch vụ của họ chính là khâu trung gian đảm bảo cho những niềm vui ấy được trọn vẹn.","""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""
""đã""",0.9714
test_1_33.jpg,"ông tuấn anh nói : "" lỗi không của riêng ai, đây là rủi ro trong làm ăn công ty chỉ kiểm soát được một phần sự việc. sự việc liên tục xảy ra khiến hai bên không có sự hợp tác, tin cậy..., mệt mỏi từ hai phía "". không tiền bạc, sức khỏe vơi đi cùng cả số tư trang ít ỏi trên người cũng được đánh đổi lấy đồ dùng trong những ngày ở tù. họ đếm từng ngày trôi đi trong gánh nặng tiền bạc. riêng hồ văn thông, số hộ chiếu ax 0134520, ở cương gián, nghi xuân, hà tĩnh, ngày 21 - 3 - 2004 đã về đến tp.hcm sau cuộc hành trình ba ngày từ malaysia qua thái lan, campuchia và đến cửa khẩu an giang.","giới thiệu về miễn phí
được",0.9643
test_10_58.jpg,nilông,nội,0.8333
test_1_20.jpg,xuống,xử,0.8
test_10_76.jpg,thấy,phải,0.75
test_10_83.jpg,rồi,nội,0.6667
test_10_48.jpg,cứu,củ,0.6667
test_1_29.jpg,hải,hcu,0.6667
test_1_76.jpg,gói,giới,0.6667
test_1_28.jpg,bầm,bạn,0.6667
test_10_63.jpg,cấp,củ,0.6667
test_10_41.jpg,hút,hư,0.6667
test_10_71.jpg,mới,mẽ,0.6667
test_10_6.jpg,cứu,củn,0.6667
test_10_29.jpg,tốt,tôi,0.6667
test_10_60.jpg,thư,chủ,0.6667
test_10_61.jpg,hợp,hồ,0.6667
test_10_69.jpg,lập,là,0.6667
test_1_4.jpg,tôi,tên,0.6667
test_1_35.jpg,núi,rút,0.6667
test_1_34.jpg,mọi,lới,0.6667
test_1_58.jpg,quyết,què,0.6
test_1_39.jpg,trước,trudi,0.6
test_10_57.jpg,mà,mã,0.5
test_10_38.jpg,hi,hị,0.5
test_10_51.jpg,hoãn,hận,0.5
test_1_95.jpg,kỳ,kỹ,0.5
test_1_66.jpg,bí,bị,0.5
test_1_51.jpg,biết,biều,0.5
test_1_82.jpg,tổ,tô,0.5
test_1_80.jpg,vợ,và,0.5
test_1_14.jpg,có,cơ,0.5
test_1_75.jpg,có,cơ,0.5
test_1_55.jpg,vị,vì,0.5
test_1_99.jpg,đi,đị,0.5
test_10_15.jpg,cá,cả,0.5
test_10_22.jpg,xã,xa,0.5
test_10_28.jpg,khởi,khór,0.5
test_10_89.jpg,trách,track,0.4
test_1_45.jpg,dưới mọi hình thức.,chiều mội hình thức,0.3684
test_1_41.jpg,mét,một,0.3333
test_1_47.jpg,ông,công,0.3333
test_1_7.jpg,vậy,vày,0.3333
test_1_96.jpg,đai,đài,0.3333
test_10_32.jpg,bảy,bày,0.3333
test_10_39.jpg,văn,vận,0.3333
test_10_50.jpg,nhà,nhã,0.3333
test_10_26.jpg,chi,chỉ,0.3333
test_10_12.jpg,của,cua,0.3333
test_10_18.jpg,nhà,nhã,0.3333
test_1_84.jpg,trừ,trả,0.3333
test_10_7.jpg,chủ,chỉ,0.3333
test_1_73.jpg,cãi,cải,0.3333
test_1_60.jpg,mặn,măn,0.3333
test_1_61.jpg,còn,con,0.3333
test_10_87.jpg,lỗi,lời,0.3333
test_10_54.jpg,bàn,bạn,0.3333
test_10_40.jpg,bọn,bạn,0.3333
test_10_73.jpg,rồi,rôi,0.3333
test_10_86.jpg,vậy,vày,0.3333
test_10_5.jpg,ông,ởng,0.3333
test_10_21.jpg,vẫn,văn,0.3333
test_10_30.jpg,máy,may,0.3333
test_10_14.jpg,cũng gọi trực tiếp vào số máy của pv cho rằng việc anh em rượt đuổi và cho người truy tìm,cùng gỗ trực tiếp xả sổ mấy cuốn pv cho nâng việc anh em rẻ để được vừa cho người truyện tin,0.2921
test_10_35.jpg,"có khí hậu biển là vùng nhiệt đới tạo điều kiện cho sinh vật biển phát triển, tồn","gó hải hận trên là vùng nhiệt đô tả tiến tiến cho sinh vật phát triển, tổn",0.284
test_1_97.jpg,"nhiều gia đình trong số họ đã dắt díu nhau đi đâu, chính anh đại bây giờ","nhiều gia định trong số hoặc đã đặt dlúnh nhau ở tatu, chính anh được bày giá",0.2778
test_1_21.jpg,nhân,nhên,0.25
test_1_37.jpg,lặng,lăng,0.25
test_1_24.jpg,chợt,chột,0.25
test_1_2.jpg,nghị,nghĩ,0.25
test_1_5.jpg,chìa,chía,0.25
test_10_9.jpg,trộn,trôn,0.25
test_10_1.jpg,muỗi,muôi,0.25
test_10_13.jpg,lịch,lich,0.25
test_1_56.jpg,viên,viền,0.25
test_1_53.jpg,động,đồng,0.25
test_1_26.jpg,ngăn,ngàn,0.25
test_1_10.jpg,phóng,phông,0.2
test_1_23.jpg,xuống,xuồng,0.2
test_10_23.jpg,thẳng,thông,0.2
test_1_3.jpg,"chuyện những người mang số 115. sáng nay ngồi quán cà phê cóc, ông bạn già của tôi tâm sự :","chuyện hướng người mang số 115. sáng nay người quán cà phí cóc,ông băng đi của lợi tận sri:",0.1868
test_10_8.jpg,"sự việc nói trên đã gây bất bình cho hàng trăm hộ dân có đất ở mua tại khu dân cư mới xuân hải, gây nên kiện cáo kéo dài.","sự việc noi trên đã gây hát bịnh cho hàng trạm hồ dần có đắt ở mua
dại khu dần cuối xiong hải, gây nên kiểm cáo keo dại.",0.1818
test_1_52.jpg,nguyên,nguyễn,0.1667
test_10_11.jpg,trưởng,trương,0.1667
test_10_91.jpg,"tranh chống tiêu cực ở công trình đường liên cảng a5, gia đình anh trương","tranh chồng tiêu cực ở công trình đường lien cáng a5, giá định anh cường",0.1096
test_10_82.jpg,"du lịch miền trung như dự án trung tâm thông tin du lịch, phát triển bãi đậu đổ xe","du lịch miền trung như duế án trung tâm thông tin du lịch, phát triển bài đraum đó xe",0.0854
test_1_38.jpg,hạnh phúc của nhân dân.,hành phúc của nhân dân.,0.0435
