image,ground_truth,prediction,cer_score
test_10_80.jpg,để,$ d \tilde{e}^{2} $,9.5
test_10_99.jpg,cổ,$ l \hat{o}^{2} $,8.5
test_1_82.jpg,tổ,$ t \hat{o}^{2} $,8.0
test_10_74.jpg,tổ,$ t \delta^{7} $,7.5
test_10_3.jpg,tổ,$ t o ^ { 2 } $,7.0
test_1_57.jpg,để,$ a t e^{2} $,6.5
test_1_95.jpg,kỳ,$ k y^{-} $,5.0
test_1_46.jpg,số,let $ r' $,5.0
test_10_85.jpg,cả,$ c a^{7} $,5.0
test_1_29.jpg,hải,$ h c u^{2} $,4.0
test_10_23.jpg,thẳng,thr $ c^{2} $,2.2
test_1_93.jpg,bờ,hd^-,2.0
test_10_60.jpg,thư,: ch3p',2.0
test_1_91.jpg,ở,80,2.0
test_1_100.jpg,kê,h e,1.5
test_1_69.jpg,kể,he',1.5
test_1_79.jpg,bị,bi .,1.5
test_10_22.jpg,xã,xa^2,1.5
test_10_16.jpg,áo,a o',1.5
test_1_6.jpg,đó,do',1.5
test_10_21.jpg,vẫn,v^at^,1.3333
test_1_35.jpg,núi,rui i,1.3333
test_1_83.jpg,dâm,claim,1.3333
test_1_90.jpg,làm,bain,1.3333
test_1_34.jpg,mọi,1201,1.3333
test_1_92.jpg,đối,b5'j,1.3333
test_10_84.jpg,được,drice.,1.25
test_1_98.jpg,ty,你,1.0
test_1_31.jpg,ông,oy,1.0
test_1_14.jpg,có,co',1.0
test_1_40.jpg,các,eàic,1.0
test_1_16.jpg,tín,hiñ,1.0
test_1_12.jpg,của,cuà',1.0
test_1_15.jpg,rồi,近视,1.0
test_1_80.jpg,vợ,v.²,1.0
test_10_42.jpg,nữa,nu' a,1.0
test_10_44.jpg,địa,du'a,1.0
test_10_56.jpg,đã,da,1.0
test_10_31.jpg,g,j,1.0
test_10_25.jpg,đã,do,1.0
test_10_48.jpg,cứu,eu'u,1.0
test_10_62.jpg,vào,. vao,1.0
test_1_48.jpg,ấy,aiy,1.0
test_1_62.jpg,người,ng u d̄i,1.0
test_1_66.jpg,bí,6!,1.0
test_1_75.jpg,có,যে,1.0
test_1_78.jpg,đến,de',1.0
test_10_79.jpg,về,কী,1.0
test_1_88.jpg,mô,m^2,1.0
test_1_50.jpg,2,l,1.0
test_1_55.jpg,vị,vi!,1.0
test_10_12.jpg,của,"7
cua",1.0
test_1_84.jpg,trừ,", trā",1.0
test_1_99.jpg,đi,d i,1.0
test_10_1.jpg,muỗi,mu^2_1,1.0
