folder,image,ground_truth,prediction,cer_score,confidence
41,64.jpg,dị,reli:,2.5,0.4536
71,47.jpg,ở,82,2.0,0.286
14,30.jpg,đó,ofo',2.0,0.652
10,25.jpg,đã,otor,2.0,0.6746
119,18.jpg,để,ote',2.0,0.652
15,54.jpg,để,ots?,2.0,0.5552
67,55.jpg,đó,dt`s,2.0,0.4762
9,19.jpg,y,rx,2.0,0.656
134,96.jpg,đá,cta',2.0,0.6037
85,52.jpg,hà,i-1a,2.0,0.5289
147,76.jpg,bị,ler',2.0,0.6597
100,17.jpg,để,ota?,2.0,0.6373
102,2.jpg,đề,aker,2.0,0.4931
71,30.jpg,ở,23,2.0,0.5645
34,68.jpg,ở,o2,2.0,0.2118
9,46.jpg,đó,olo',2.0,0.6008
70,13.jpg,ở,'o,2.0,0.4064
51,55.jpg,ở,10,2.0,0.6554
22,52.jpg,xế,cee',2.0,0.4953
114,52.jpg,ký,tayi,2.0,0.3717
32,83.jpg,ưu,1221,2.0,0.4734
5,93.jpg,ở,a',2.0,0.2954
46,54.jpg,m,wn,2.0,0.4797
37,50.jpg,để,ate',2.0,0.6887
15,29.jpg,ở,8',2.0,0.4463
150,45.jpg,ở,11,2.0,0.2555
1,91.jpg,ở,07,2.0,0.5865
64,98.jpg,đỏ,cte2,2.0,0.4512
129,48.jpg,ở,a',2.0,0.4535
41,75.jpg,đó,tho',2.0,0.5635
124,52.jpg,ở,20,2.0,0.8743
91,63.jpg,cá,loi',2.0,0.5436
5,43.jpg,kế,lca',2.0,0.3929
95,90.jpg,bị,lo4',2.0,0.4786
113,39.jpg,sau,tocene,2.0,0.681
91,6.jpg,vì,tou',2.0,0.6349
132,99.jpg,để,ote?,2.0,0.709
113,49.jpg,xử,pati,2.0,0.2145
147,32.jpg,bị,lot',2.0,0.6355
145,57.jpg,đã,otar,2.0,0.6757
23,50.jpg,ý,y',2.0,0.6696
61,22.jpg,độ,it o,2.0,0.5929
2,33.jpg,ở,21,2.0,0.5091
72,87.jpg,ở,3',2.0,0.4134
110,73.jpg,bác,lorde,1.6667,0.5241
16,74.jpg,vào,ttun',1.6667,0.6366
39,65.jpg,vực,aantt,1.6667,0.4338
101,74.jpg,đến,"oten """,1.6667,0.7238
85,32.jpg,đầu,atcis,1.6667,0.7298
69,14.jpg,bảy,pocus,1.6667,0.3171
85,39.jpg,ông,phuay,1.6667,0.4476
17,41.jpg,đầu,atar',1.6667,0.6034
18,40.jpg,vụ,u-a,1.5,0.6503
26,45.jpg,hệ,rue,1.5,0.2707
62,4.jpg,đã,iau,1.5,0.2657
85,7.jpg,sẽ,1or,1.5,0.2455
86,73.jpg,sú,fn',1.5,0.5317
107,1.jpg,vụ,u-u,1.5,0.6169
40,50.jpg,em,lun,1.5,0.5683
55,45.jpg,số,kol,1.5,0.3672
132,72.jpg,ninh,fv1 r&,1.5,0.6406
34,61.jpg,số,ng',1.5,0.5047
132,78.jpg,số,16',1.5,0.601
124,45.jpg,bà,tha,1.5,0.5976
45,66.jpg,đó,do',1.5,0.7663
124,46.jpg,để,d2',1.5,0.6221
16,90.jpg,hạ,tla,1.5,0.7189
82,20.jpg,an,our,1.5,0.8933
40,33.jpg,đó,do',1.5,0.8799
35,63.jpg,đỏ,dt?,1.5,0.4847
133,68.jpg,bộ,12e,1.5,0.2635
144,94.jpg,bờ,hei,1.5,0.5699
19,4.jpg,đề,de`,1.5,0.6294
19,2.jpg,đổ,do',1.5,0.5224
49,74.jpg,về,url,1.5,0.317
137,28.jpg,vụ,nll,1.5,0.4957
120,86.jpg,số,151,1.5,0.3633
120,82.jpg,sẽ,rey,1.5,0.6508
123,66.jpg,để,de',1.5,0.5483
57,82.jpg,đã,dot,1.5,0.4536
62,43.jpg,kế,lce,1.5,0.4383
142,40.jpg,bà,tra,1.5,0.5215
23,98.jpg,cố,cs ',1.5,0.5826
26,8.jpg,bộ,los,1.5,0.27
9,26.jpg,dỡ,clo,1.5,0.848
34,93.jpg,đó,at',1.5,0.4478
1,93.jpg,bờ,"hd""",1.5,0.5387
103,12.jpg,xe,scc,1.5,0.4952
87,38.jpg,đồ,ota,1.5,0.5496
71,14.jpg,và,b-o,1.5,0.4165
111,99.jpg,để,te',1.5,0.4119
12,49.jpg,bà,lsa,1.5,0.5575
107,39.jpg,số,hel,1.5,0.1889
6,60.jpg,về,ave',1.5,0.5887
11,8.jpg,từ,pui,1.5,0.4993
98,69.jpg,đã,ota,1.5,0.7743
41,1.jpg,bộ,lie,1.5,0.235
6,95.jpg,để,tel,1.5,0.6205
121,63.jpg,để,te',1.5,0.7885
2,82.jpg,đó,ato,1.5,0.4708
116,63.jpg,đó,ato,1.5,0.508
11,69.jpg,để,de',1.5,0.5152
97,44.jpg,đề,cte,1.5,0.5712
116,3.jpg,xã,sac,1.5,0.4072
64,53.jpg,bị,ln:,1.5,0.6242
109,31.jpg,số,ne',1.5,0.4601
104,50.jpg,đó,ch',1.5,0.6026
22,26.jpg,xã,9ca,1.5,0.729
51,47.jpg,tố,for,1.5,0.5999
97,77.jpg,vụ,ull,1.5,0.4961
115,11.jpg,và,uai,1.5,0.4343
77,30.jpg,bò,lgo,1.5,0.387
94,27.jpg,đã,ata,1.5,0.5899
103,45.jpg,đủ,oti,1.5,0.7622
104,79.jpg,tế,1e',1.5,0.3735
76,31.jpg,đề,cle,1.5,0.8373
113,43.jpg,tờ,+3`,1.5,0.7258
38,22.jpg,đồ,tit,1.5,0.4075
8,31.jpg,từ,tut',1.5,0.4954
127,3.jpg,mà,hna,1.5,0.6182
56,50.jpg,dự,&ue,1.5,0.5178
88,41.jpg,đó,dor,1.5,0.4004
88,46.jpg,kế,22',1.5,0.3449
26,31.jpg,đó,cto,1.5,0.6806
104,18.jpg,số,56',1.5,0.5328
69,39.jpg,lý,d.-,1.5,0.552
146,85.jpg,bà,lsa,1.5,0.602
59,98.jpg,và,laa,1.5,0.4078
8,21.jpg,hà,tui,1.5,0.6565
115,27.jpg,đã,tta,1.5,0.6683
85,22.jpg,từ,+ut,1.5,0.8013
68,14.jpg,sự,aul,1.5,0.6965
19,86.jpg,số,ao',1.5,0.3447
102,39.jpg,bà,boen,1.5,0.5295
91,29.jpg,đã,ala,1.5,0.3384
98,45.jpg,kỷ,ley,1.5,0.8091
114,95.jpg,bị,li:,1.5,0.5634
37,18.jpg,sử,sus3,1.5,0.4376
70,72.jpg,họ,fro,1.5,0.7804
91,45.jpg,dữ,che,1.5,0.4051
39,77.jpg,đề,dei,1.5,0.8237
74,21.jpg,đổ,cta,1.5,0.301
114,62.jpg,để,te',1.5,0.4996
70,67.jpg,đủ,tha,1.5,0.5618
12,78.jpg,đó,to-,1.5,0.5692
81,65.jpg,dự,ala,1.5,0.5009
91,41.jpg,kế,le',1.5,0.6866
110,11.jpg,tế,ve',1.5,0.5295
105,29.jpg,bà,los,1.5,0.475
23,29.jpg,được,otuede,1.5,0.5071
20,91.jpg,đi,ott,1.5,0.7342
78,41.jpg,đó,do-,1.5,0.8129
29,37.jpg,đã,dat,1.5,0.4408
137,98.jpg,diện,lan den,1.5,0.9253
29,89.jpg,đã,atr,1.5,0.2781
35,34.jpg,hoàn,cascim,1.5,0.3681
47,19.jpg,đi,ch.,1.5,0.6201
122,71.jpg,về,uet,1.5,0.4761
137,10.jpg,bí,dh.,1.5,0.481
10,56.jpg,đã,dta,1.5,0.7246
43,98.jpg,ký,luy,1.5,0.4697
52,34.jpg,bị,boi.,1.5,0.4849
29,50.jpg,và,u'n,1.5,0.5851
42,76.jpg,kỳ,juy,1.5,0.7599
92,27.jpg,số,s 61,1.5,0.5811
143,14.jpg,sở,88',1.5,0.5051
