folder,image,ground_truth,prediction,cer_score
34,68.jpg,ở,"⁄
2
(6,",7.0
8,93.jpg,ở,"2
9
íœ,",7.0
119,56.jpg,ở,"co
/x)",6.0
62,97.jpg,ở,"2?
l&)",6.0
95,22.jpg,ở,").s
ø)",6.0
124,52.jpg,ở,"20
€j",5.0
91,33.jpg,ở,"l)
)
ở",5.0
114,43.jpg,có,"⁄4
l@7 eo)",5.0
32,99.jpg,ở,")2
ø)",5.0
43,60.jpg,muốn,".
2/⁄//ậ x1/v0ợạảớời",5.0
66,79.jpg,ở,"?
›
ơ",5.0
103,63.jpg,có,"(
(2p —2‡4",5.0
74,54.jpg,ở,"lì
9)",5.0
105,90.jpg,ở,"/
)
o",5.0
117,29.jpg,ở,"?
>
2",5.0
150,45.jpg,ở,"4 z
©",5.0
150,42.jpg,cửa,"2
2
(ø/10/⁄/ 0",4.6667
87,77.jpg,nó,"⁄
(0 v09)",4.5
34,70.jpg,để,"dở?
ívawa",4.5
6,18.jpg,cái,"/⁄
/v⁄⁄/vp.,'",4.3333
3,65.jpg,làm,"—_—
\⁄2ÿ%/⁄x:",4.3333
50,24.jpg,án,"⁄
⁄ouao)",4.0
127,61.jpg,án,"⁄
(20 0\",4.0
79,2.jpg,áo,"⁄
⁄„úc9)",4.0
102,19.jpg,nản,"~
//⁄2/7/1/)",4.0
149,56.jpg,án,"⁄
(6ÿ gì",4.0
14,97.jpg,ở,"`
e.",4.0
51,55.jpg,ở,"ậ,
0",4.0
95,97.jpg,nấu,"-
lọạy⁄ 7 p5",4.0
70,13.jpg,ở,")
 -",4.0
104,70.jpg,nỗ,"c~—
⁄zlš",4.0
88,58.jpg,độ,"--
l@)
¿",4.0
66,53.jpg,ở,"2)
-",4.0
72,3.jpg,ở,"›2
ø",4.0
71,47.jpg,ở,"_—
⁄",4.0
81,6.jpg,mắn,"“ˆ
#”#”1ø@7”",4.0
124,94.jpg,ở,"2
⁄⁄",4.0
131,43.jpg,có,"z⁄““°ˆ
cô",4.0
6,60.jpg,về,"^~ \
qy@",4.0
5,77.jpg,m,vwwv,4.0
42,40.jpg,ý,"|
'\",4.0
116,91.jpg,ở,"s
í)",4.0
101,76.jpg,án,"_
⁄.mwả)",4.0
32,56.jpg,và,"s.
na uụ",4.0
40,66.jpg,ào,"_
(⁄.wø,",4.0
56,79.jpg,kiểm,"« a2
ízi ằ®xœx^n",3.75
44,12.jpg,đến,"#d..
_
e©p&",3.6667
149,65.jpg,nếu,"—~
`
v~9oaa",3.6667
20,46.jpg,núi,"⁄/.
vxqvaa^",3.6667
29,20.jpg,cổ,"^ )
ẹðo",3.5
25,92.jpg,có,"[
œa^a5",3.5
139,96.jpg,số,"i
^
5 ⁄",3.5
32,96.jpg,mở,"/
”⁄a0/",3.5
113,100.jpg,về,"~_
an —",3.5
56,1.jpg,ăn,"l^
⁄<z~",3.5
74,40.jpg,mà,"yycơo),",3.5
63,36.jpg,mà,la at⁄i,3.5
88,42.jpg,xã,"^^
pøø)",3.5
6,48.jpg,tế,"_⁄
+{+¿",3.5
10,16.jpg,áo,"⁄
(220)",3.5
58,60.jpg,số,"[
^
t9)",3.5
34,58.jpg,vn,—~/ld-i,3.5
111,23.jpg,mà,"\
vyac.",3.5
132,99.jpg,để,"<1
cg\2",3.5
118,58.jpg,về,"^ -_
m7",3.5
1,88.jpg,mô,"^^
wvuo",3.5
61,83.jpg,về,"_—
⁄z⁄ơ",3.5
80,37.jpg,sẽ,"^~z
^2°",3.5
139,62.jpg,về,[pau ⁄2,3.5
80,93.jpg,âm,"—
ø=_wv",3.5
136,70.jpg,rõ,"zc¬=
vo",3.5
87,38.jpg,đồ,"~_—_
&ô",3.5
1,46.jpg,số,"⁄
ấ#zrậ",3.5
56,69.jpg,mô,"ch.
«^^",3.5
87,66.jpg,mơ,"p]
@«@⁄",3.5
35,85.jpg,cô,"¬
(@ «)",3.5
87,31.jpg,nếu,"⁄
⁄/⁄/oốp0",3.3333
77,15.jpg,mỏi,"ẳ
(í  ý6))",3.3333
94,36.jpg,vốn,"^^
lvasx⁄@)",3.3333
148,34.jpg,môi,"^.
w//2a2)",3.3333
139,8.jpg,đại,"gö‹à
caa
‹",3.3333
1,41.jpg,mét,"acc x
⁄“íí",3.3333
71,79.jpg,nếu,"x⁄2
⁄zv⁄2n",3.3333
111,55.jpg,về,"~w&
vn©",3.0
78,39.jpg,ăn,"—_
øđa",3.0
111,54.jpg,ở,")
ồ",3.0
65,83.jpg,m,(vy,3.0
17,65.jpg,an,⁄⁄ø“ 0,3.0
126,35.jpg,về,"^
wvczc",3.0
122,59.jpg,cáo,"_
(ø⁄09))",3.0
142,58.jpg,nỗ,"ø
x
-no",3.0
62,70.jpg,cầu,"^ —
ọgœ⁄_",3.0
94,93.jpg,ở,"⁄
ố",3.0
141,99.jpg,đãi,"=^°
2| 4a",3.0
9,30.jpg,ở,")
s",3.0
145,39.jpg,xử,"j
l
_ư",3.0
30,57.jpg,cả,"lu
(ø2",3.0
125,96.jpg,ra,"4⁄5 5""",3.0
55,12.jpg,của,".
(606325",3.0
8,11.jpg,có,"⁄
lớn)",3.0
126,74.jpg,ở,"á
ồ",3.0
98,73.jpg,nên,"^
072 6b)",3.0
126,50.jpg,có,"⁄
(w9)",3.0
46,54.jpg,m,wia,3.0
129,57.jpg,về,"b
_
m/",3.0
2,27.jpg,đã,"pw
(2.",3.0
43,31.jpg,cửa,"2.
e6 l^.",3.0
114,90.jpg,ở,"ệ
&",3.0
93,89.jpg,cố,"“
(u )",3.0
50,46.jpg,ở,"2
ø",3.0
53,33.jpg,sẽ,"^~j)
2",3.0
87,14.jpg,ải,",.
(27",3.0
81,94.jpg,vả,"l
x)⁄^",3.0
59,14.jpg,về,"-
⁄^
vc",3.0
117,8.jpg,mà,"b
ry¬-",3.0
143,25.jpg,nước,"⁄“ˆ
lo vs t/",3.0
118,53.jpg,vốn,"cc
^~
ayon",3.0
106,15.jpg,sĩ,"2
z⁄lu",3.0
83,22.jpg,các,"-—
426 16",3.0
60,27.jpg,cơm,"1)
tøøw⁄2",3.0
79,31.jpg,ở,"o
ò",3.0
79,35.jpg,2,“iì,3.0
75,17.jpg,có,"^^
(z2",3.0
59,5.jpg,và,ca cw&,3.0
130,80.jpg,của,"9
2767/20",3.0
145,52.jpg,ra,j\xø@&,3.0
79,60.jpg,gần,"~^`
si ww",3.0
136,81.jpg,sẽ,"~j
>”v",3.0
101,56.jpg,ở,"›
ờ",3.0
40,77.jpg,có,"/
/⁄2)",3.0
7,79.jpg,về,"xo
w⁄2",3.0
99,23.jpg,m,án),3.0
45,64.jpg,sĩ,"“~
6⁄2",3.0
35,47.jpg,2,giá,3.0
116,5.jpg,có,"⁄
(ø3)",3.0
136,42.jpg,ở,"j
ồ",3.0
20,73.jpg,nấu,"«
i0t⁄0v\",3.0
54,11.jpg,án,"—
c⁄nx\",3.0
65,25.jpg,các,"/
(ø⁄2960",3.0
79,67.jpg,cứ,"⁄
(ứưøg",3.0
11,55.jpg,nhà,"ñ
⁄2bu/2i",3.0
97,85.jpg,có,"/
(đo)",3.0
15,40.jpg,về,"=—
—~⁄",3.0
16,1.jpg,m,l⁄a,3.0
30,93.jpg,của,"w⁄
csxcex_",3.0
25,22.jpg,em,(zvvog,3.0
82,51.jpg,ở,")
ổ",3.0
25,18.jpg,việc,". 6
~ƒ t0 c—_",3.0
11,29.jpg,ấp,"_ _
^j",3.0
42,8.jpg,xã,"c
ww<^",3.0
63,97.jpg,của,"z
%«⁄⁄zcz",3.0
66,69.jpg,các,"øˆ
(d2 80",3.0
54,83.jpg,ở,"(
ủ",3.0
60,48.jpg,có,"í
(áo)",3.0
61,75.jpg,mùa,"„
tre uwoa",3.0
92,60.jpg,năm,"_
yøw⁄x^—",3.0
49,82.jpg,nhà,"p
//01/0)",3.0
100,5.jpg,có,"⁄
lớn)",3.0
121,23.jpg,ở,"4
d",3.0
147,45.jpg,tổ,"~ 2
15",3.0
148,97.jpg,ở,"¿
⁄",3.0
95,83.jpg,số,"⁄ˆ
1l”",3.0
93,69.jpg,mà,"-_
”⁄a",3.0
120,22.jpg,mà,wwuz^_,3.0
